,Month,WeekOfMonth,DayOfWeek,Make_Honda,Make_Toyota,Make_Ford,Make_Mazda,Make_Chevrolet,Make_Pontiac,Make_Accura,Make_Dodge,Make_Mercury,Make_Jaguar,Make_Nisson,Make_VW,Make_Saab,Make_Saturn,Make_Porche,Make_BMW,Make_Mecedes,Make_Ferrari,Make_Lexus,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus_Single,MaritalStatus_Married,MaritalStatus_Widow,MaritalStatus_Divorced,Age,Fault,PolicyType_Sport - Liability,PolicyType_Sport - Collision,PolicyType_Sedan - Liability,PolicyType_Utility - All Perils,PolicyType_Sedan - All Perils,PolicyType_Sedan - Collision,PolicyType_Utility - Collision,PolicyType_Utility - Liability,PolicyType_Sport - All Perils,VehicleCategory_Sport,VehicleCategory_Utility,VehicleCategory_Sedan,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy_Liability,BasePolicy_Collision,BasePolicy_All Perils,,FraudFound_P
59,5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,1,0,0,0,27,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,60,4,400,4,31,31,0,6,33,0,0,1,1,0,1,1994,0,1,0,,0
60,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,3,0,1,0,0,0,30,1,0,0,0,0,1,0,0,0,0,0,0,1,34500,61,5,400,4,31,31,0,5,33,0,0,1,0,0,1,1994,0,0,1,,0
61,9,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,4,0,0,1,0,0,49,1,0,0,0,0,0,0,1,0,0,0,1,0,49500,62,6,400,4,31,31,0,8,45.5,0,0,1,0,0,1,1994,0,1,0,,0
62,11,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0,1,0,0,0,16.5,0,0,0,0,0,1,0,0,0,0,0,0,1,69001,63,3,400,2,31,31,2,0,16.5,0,0,1,0,0,1,1994,0,0,1,,0
63,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0,26,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,64,13,400,3,31,31,2,7,33,0,0,1,6,6,2,1994,1,0,0,,0
64,12,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,2,0,1,0,0,0,48,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,65,1,400,1,31,31,0,7,45.5,0,0,1,0,0,1,1994,0,1,0,,0
65,12,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,31,1,0,0,0,0,1,0,0,0,0,0,0,1,24500,66,6,400,3,31,31,0,7,33,0,0,1,0,0,1,1994,0,0,1,,0
66,3,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,3,3,0,1,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,1,69001,67,16,400,2,31,31,1,7,38,0,0,1,6,0,1,1994,0,1,0,,0
67,8,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5,0,0,1,0,0,65,1,0,0,1,0,0,0,0,0,0,1,0,0,34500,68,12,400,1,31,31,2,8,58,0,0,1,6,0,1,1994,1,0,0,,0
68,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,64,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,69,5,400,1,31,31,1,8,58,0,0,1,0,0,1,1994,0,1,0,,0
69,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,55,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,70,12,400,2,31,31,2,7,45.5,0,0,1,6,0,1,1994,1,0,0,,0
70,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,44,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,71,16,400,1,31,31,2,7,38,0,0,1,3,0,1,1994,0,1,0,,0
71,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,0,0,27,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,72,9,400,3,31,31,1,6,33,0,0,1,1,0,1,1994,0,1,0,,0
72,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,1,24500,73,5,400,3,22.5,31,1,5,33,0,0,1,0,0,1,1994,0,1,0,,0
73,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,1,24500,74,7,400,2,31,31,1,8,45.5,0,0,1,6,0,1,1994,0,1,0,,0
74,4,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,1,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,1,69001,75,12,400,3,31,31,5,7,58,0,0,1,6,0,1,1994,0,1,0,,0
75,8,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,4,0,0,1,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,1,34500,76,9,400,4,31,31,5,6,33,0,0,1,0,0,1,1994,0,1,0,,0
76,10,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,1,24500,77,1,400,3,31,31,0,6,33,0,0,1,0,0,1,1994,0,0,1,,0
77,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,0,1,0,0,47,0,0,1,0,0,0,0,0,0,0,1,0,0,69001,78,12,400,3,31,31,0,8,45.5,0,0,1,0,0,1,1994,0,1,0,,0
78,2,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,0,0,0,29,1,0,0,1,0,0,0,0,0,0,1,0,0,34500,79,16,400,1,31,31,2,5,33,0,0,1,3,0,1,1994,1,0,0,,0
79,2,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,1,0,1,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,1,34500,80,10,400,1,31,31,2,7,33,0,0,1,6,0,1,1994,0,1,0,,0
80,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,1,0,0,38,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,81,13,400,4,31,31,2,6,38,0,0,1,0,0,1,1994,1,0,0,,0
81,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,4,0,1,0,0,0,37,0,0,0,1,0,0,0,0,0,0,1,0,0,24500,82,6,400,2,31,31,1,7,38,0,0,1,0,0,1,1994,1,0,0,,0
82,12,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,0,0,1,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,1,69001,83,13,400,4,31,31,0,7,38,0,0,1,0,0,3.5,1994,0,0,1,,0
83,11,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,1,0,1,0,0,44,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,84,9,400,4,31,31,0,6,38,0,0,1,1,0,1,1994,1,0,0,,0
84,12,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,16.5,1,0,0,1,0,0,0,0,0,0,1,0,0,69001,85,6,400,2,31,31,5,0,16.5,0,0,1,0,6,2,1994,1,0,0,,0
85,12,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,27,1,0,0,0,0,0,0,0,1,0,0,1,0,69001,86,4,400,4,31,31,1,6,33,0,0,1,6,0,1,1994,1,0,0,,0
86,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,0,1,0,0,0,27,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,87,14,400,3,31,31,1,6,33,0,0,1,6,0,1,1994,0,1,0,,0
87,5,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,0,1,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,1,24500,88,1,400,2,31,31,2,4,38,0,0,1,6,0,1,1994,0,0,1,,0
88,10,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,5,0,0,1,0,0,74,0,0,0,0,0,1,0,0,0,0,0,0,1,34500,89,13,400,4,31,31,0,7,66,0,0,1,3,0,1,1994,0,0,1,,0
89,10,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,4,0,1,0,0,0,23,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,90,8,400,2,31,31,2,4,28,0,0,1,0,0,1,1994,1,0,0,,0
90,10,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,4,1,1,0,0,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0,69001,91,2,400,1,31,31,0,6,28,0,0,1,6,0,1,1994,0,1,0,,0
91,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,0,0,38,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,92,13,400,2,31,31,5,7,38,0,0,1,3,1,1,1994,1,0,0,,0
